Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
INJECTION ANES LMBR/THRC PARAVERTBRL SYMPATHETIC                                ,"$2,358.00 ",,
INJECTION ANES LUMBAR PLEXUS POST CONT NFS CATH                                 ,"$1,519.00 ",,
INJECTION ANES OTHER PERIPHERAL NERVE/BRANCH                                    ,"$1,927.00 ",,
INJECTION ANES SCIATIC NERVE CONT INFUSION CATH                                 ,"$1,519.00 ",,
INJECTION ANES SUPERIOR HYPOGASTRIC PLEXUS                                      ,"$1,604.00 ",,
INJECTION ANESTHETIC AGENT 1 INTERCOSTAL NERVE                                  ,"$1,519.00 ",,
INJECTION ANESTHETIC AGENT AXILLARY NERVE                                       ,"$1,519.00 ",,
INJECTION ANESTHETIC AGENT CERVICAL PLEXUS                                      ,"$1,057.00 ",,
INJECTION ANESTHETIC AGENT FACIAL NERVE                                         ,$904.00 ,,
INJECTION ANESTHETIC AGENT FEMORAL NERVE SINGLE                                 ,"$1,604.00 ",,
INJECTION ANESTHETIC AGENT GREATER OCCIPITAL NRV                                ,"$1,124.00 ",,
INJECTION ANESTHETIC AGENT PHRENIC NERVE                                        ,"$1,235.00 ",,
INJECTION ANESTHETIC AGENT PUDENDAL NERVE                                       ,"$1,519.00 ",,
INJECTION ANESTHETIC AGENT SCIATIC NRV SINGLE                                   ,"$1,057.00 ",,
INJECTION ANESTHETIC AGENT SUPRASCAPULAR NERVE                                  ,"$1,057.00 ",,
INJECTION ANESTHETIC PARACERVICAL UTERINE NERVE                                 ,$904.00 ,,
INJECTION ANKLE ARTHROGRAPHY                                                    ,$590.00 ,,
INJECTION CORPORA CAVERNOSOGRAPY                                                ,"$1,391.00 ",,
INJECTION ELBOW ARTHROGRAPHY                                                    ,$586.00 ,,
INJECTION ENZYME PALMAR FASCIAL CORD                                            ,$661.00 ,,
INJECTION EPIDURAL BLOOD/CLOT PATCH                                             ,"$1,519.00 ",,
INJECTION HIP ARTHROGRAPHY W/O ANESTHESIA                                       ,$893.00 ,,
INJECTION INTRALESIONAL >7 LESIONS                                              ,$462.00 ,,
INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS                                ,$530.00 ,,
INJECTION IPILIMUMAB 1MG WASTE,$0.00 ,Invoice-based charges,
INJECTION MAMMARY DUCTOGRAM/GALACTOGRAM                                         ,$563.00 ,,
INJECTION MEDICATION/OTHER SUBST TENON CAPSULE                                  ,"$1,325.00 ",,
INJECTION PROCEDURE FOR SACROILIAC JOINT; ARTHROGRAPHY                          ,"$1,064.00 ",,
INJECTION PROCEDURE FOR SACROILIAC JOINT; PROVISION OF                          ,"$2,767.00 ",,
INJECTION PROCEDURE LYMPHANGIOGRAPHY                                            ,"$1,751.00 ",,
INJECTION PROCEDURE MYELOGRAPHY/CT LUMBAR                                       ,"$2,147.00 ",,
INJECTION PROCEDURE SIALOGRAPHY                                                 ,$200.00 ,,
INJECTION PROCEDURE SPLENOPORTOGRAPY                                            ,"$1,231.00 ",,
INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR                                      ,"$1,604.00 ",,
INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC                                ,$953.00 ,,
INJECTION PX PRQ TX EXTREMITY PSEUDOANEURYSM                                    ,$191.00 ,,
INJECTION SCLEROSANT MULTIPLE INCMPTNT VEINS                                    ,"$1,003.00 ",,
INJECTION SCLEROSANT SINGLE INCMPTNT VEIN                                       ,"$1,003.00 ",,
INJECTION SCLEROSING SOLUTION HEMORRHOIDS                                       ,"$1,744.00 ",,
INJECTION SHOULDER ARTHROGRAPHY/ CT/MRI ARTHG                                   ,"$1,340.00 ",,
INJECTION SINGLE TENDON ORIGIN/INSERTION                                        ,$546.00 ,,
INJECTION SINGLE/MLT TRIGGER POINT 1/2 MUSCLES                                  ,$546.00 ,,
INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES                                  ,$546.00 ,,
INJECTION SINUS TRACT DIAGNOSTIC                                                ,$762.00 ,,
INJECTION SINUS TRACT THERAPEUTIC SEPARATE PROC                                 ,"$2,181.00 ",,
INJECTION THERAPEUTIC CARPAL TUNNEL                                             ,$904.00 ,,
INJECTION TURBINATE THERAPEUTIC                                                 ,"$2,635.00 ",,
INJECTION WRIST ARTHROGRAPHY                                                    ,$448.00 ,,
"INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDIC                         ",$121.24 ,,
"INJECTION, ADRENALIN, EPINEPHRINE, 0.1 MG                                       ","$1,214.00 ",,
"INJECTION, AFLIBERCEPT, 1 MG                                                    ","$2,925.00 ",,
"INJECTION, ALEMTUZUMAB, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, ALPROSTADIL, 1.25 MCG (CODE MAY BE USED FOR                          ",$425.00 ,,
"INJECTION, ALTEPLASE RECOMBINANT, 1 MG                                          ",$226.01 ,,
"INJECTION, AMINOPHYLLIN, UP TO 250 MG                                           ",$16.60 ,,
"INJECTION, AMPICILLIN SODIUM, 500 MG                                            ",$1.52 ,,
"INJECTION, BACLOFEN, 50 MCG FOR INTRATHECAL TRIAL                               ",$5.00 ,,
"INJECTION, BELATACEPT, 1 MG                                                     ",$11.62 ,,
"INJECTION, BELIMUMAB, 10 MG                                                     ",$134.88 ,,
"INJECTION, BETAMETHASONE ACETATE 3 MG AND BETAMETHASONE                         ",$36.00 ,,
"INJECTION, BEVACIZUMAB, 0.25 MG                                                 ",$6.16 ,,
"INJECTION, BEVACIZUMAB, 10 MG                                                   ",$226.00 ,,
"INJECTION, BEZLOTOXUMAB 10 MG",$0.00 ,Invoice-based charges,
"INJECTION, CANGRELOR, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, CARFILZOMIB, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, CEFAZOLIN SODIUM, 500 MG                                             ",$3.00 ,,
"INJECTION, CEFTRIAXONE SODIUM, PER 250 MG                                       ",$9.00 ,,
"INJECTION, CERTOLIZUMAB PEGOL, 1 MG (CODE MAY BE USED F                         ",$4.00 ,,
"INJECTION, CIDOFOVIR, 375 MG",$0.00 ,Invoice-based charges,
"INJECTION, COLLAGENASE, CLOSTRIDIUM HISTOLYTICUM, 0.01                          ",$137.00 ,,
"INJECTION, COSYNTROPIN (CORTROSYN), 0.25 MG                                     ",$254.00 ,,
"INJECTION, DALBAVANCIN 5MG",$0.00 ,Invoice-based charges,
"INJECTION, DARATUMUMAB, 10 MG",$0.00 ,Invoice-based charges,
"INJECTION, DARBEPOETIN ALFA, 1 MICROGRAM (FOR ESRD ON D                         ",$22.82 ,,
"INJECTION, DARBEPOETIN ALFA, 1 MICROGRAM (NON-ESRD USE)                         ",$22.82 ,,
"INJECTION, DENOSUMAB, 1 MG                                                      ",$57.74 ,,
"INJECTION, DEXAMETHASONE SODIUM PHOSPHATE, 1 MG                                 ",$2.00 ,,
"INJECTION, DEXAMETHASONE, INTRAVITREAL IMPLANT, 0.1 MG                          ",$618.89 ,,
"INJECTION, DIGOXIN, UP TO 0.5 MG                                                ",$9.92 ,,
"INJECTION, DIPHENHYDRAMINE HCL, UP TO 50 MG                                     ",$4.00 ,,
"INJECTION, DIPYRIDAMOLE, PER 10 MG                                              ",$86.00 ,,
"INJECTION, DMSO, DIMETHYL SULFOXIDE, 50%, 50 ML                                 ","$1,439.39 ",,
"INJECTION, DOBUTAMINE HYDROCHLORIDE, PER 250 MG                                 ",$24.00 ,,
"INJECTION, ECULIZUMAB, 10 MG                                                    ",$706.66 ,,
"INJECTION, ELOTUZUMAB, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, EPOETIN ALFA, (FOR NON-ESRD USE), 1000 UNITS                         ",$50.40 ,,
"INJECTION, FERUMOXYTOL, FOR TREATMENT OF IRON DEFICIENC                         ",$1.99 ,,
"INJECTION, FILGRASTIM (G-CSF), EXCLUDES BIOSIMILARS, 1                          ",$3.13 ,,
"INJECTION, FULVESTRANT, 25 MG                                                   ",$287.53 ,,
"INJECTION, FUROSEMIDE, UP TO 20 MG                                              ",$7.50 ,,
"INJECTION, GADOBENATE DIMEGLUMINE (MULTIHANCE), PER ML                          ",$8.00 ,,
"INJECTION, GADOBUTROL, 0.1 ML                                                   ",$2.10 ,,
"INJECTION, GADOFOSVESET TRISODIUM, 1 ML                                         ",$25.64 ,,
"INJECTION, GADOLINIUM-BASED MAGNETIC RESONANCE CONTRAST                         ",$6.00 ,,
"INJECTION, GADOTERIDOL, (PROHANCE MULTIPACK), PER ML                            ",$6.00 ,,
"INJECTION, GADOXETATE DISODIUM, 1 ML                                            ",$65.00 ,,
"INJECTION, GAMMA GLOBULIN, INTRAMUSCULAR, 1 CC                                  ",$132.21 ,,
"INJECTION, GARAMYCIN, GENTAMICIN, UP TO 80 MG                                   ",$3.95 ,,
"INJECTION, GLUCAGON HYDROCHLORIDE, PER 1 MG                                     ",$183.00 ,,
"INJECTION, HEPARIN SODIUM, PER 1000 UNITS                                       ",$0.51 ,,
"INJECTION, HEPATITIS B IMMUNE GLOBULIN (HEPAGAM B), INT                         ",$194.77 ,,
"INJECTION, HYDROCORTISONE SODIUM SUCCINATE, UP TO 100 M                         ",$37.66 ,,
"INJECTION, HYDROXYPROGESTERONE CAPROATE, (MAKENA), 10 M                         ",$85.61 ,,
"INJECTION, IBANDRONATE SODIUM, 1 MG                                             ",$71.39 ,,
"INJECTION, ICATIBANT, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, IMMUNE GLOBULIN, (GAMMAGARD LIQUID), NON-LYO                         ",$118.20 ,,
"INJECTION, IMMUNE GLOBULIN, (GAMUNEX-C/GAMMAKED), NON-L                         ",$131.38 ,,
"INJECTION, INFLIXIMAB, EXCLUDES BIOSIMILAR, 10 MG                               ",$358.46 ,,
"INJECTION, INSULIN, PER 5 UNITS                                                 ",$1.00 ,,
"INJECTION, IRON SUCROSE, 1 MG                                                   ",$122.85 ,,
"INJECTION, IRON-BASED MAGNETIC RESONANCE CONTRAST AGENT                         ",$62.00 ,,
"INJECTION, ISAVUCONAZONIM 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, IXABEPILONE, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, KETOROLAC TROMETHAMINE, PER 15 MG                                    ",$4.00 ,,
"INJECTION, LEUPROLIDE ACETATE (FOR DEPOT SUSPENSION), P                         ","$3,761.39 ",,
"INJECTION, LEVOFLOXACIN, 250 M",$0.00 ,Invoice-based charges,
"INJECTION, LIDOCAINE HCL FOR INTRAVENOUS INFUSION, 10 M                         ",$6.00 ,,
"INJECTION, LORAZEPAM, 2 MG",$0.00 ,Invoice-based charges,
"INJECTION, MANNITOL, 25  IN 50",$0.00 ,Invoice-based charges,
"INJECTION, MEDROXYPROGESTERONE ACETATE, 1 MG                                    ",$74.45 ,,
"INJECTION, MEPOLIZUMAB, 1 MG                                                    ",$85.54 ,,
"INJECTION, METHYLPREDNISOLONE ACETATE, 20 MG                                    ",$21.70 ,,
"INJECTION, METHYLPREDNISOLONE ACETATE, 40 MG                                    ",$27.00 ,,
"INJECTION, METHYLPREDNISOLONE ACETATE, 80 MG                                    ",$44.00 ,,
"INJECTION, METHYLPREDNISOLONE SODIUM SUCCINATE, UP TO 1                         ",$21.82 ,,
"INJECTION, METHYLPREDNISOLONE SODIUM SUCCINATE, UP TO 4                         ",$27.00 ,,
"INJECTION, NALOXONE HYDROCHLORIDE, PER 1 MG                                     ",$455.99 ,,
"INJECTION, NALTREXONE, DEPOT FORM, 1 MG                                         ",$10.56 ,,
"INJECTION, NATALIZUMAB, 1 MG                                                    ",$65.00 ,,
"INJECTION, NIVOLUMAB, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, NON-RADIOACTIVE, NON-CONTRAST, VISUALIZATION                         ",$1.00 ,,
"INJECTION, OCRELIZUMAB, 1 MG                                                    ",$176.04 ,,
"INJECTION, OCRIPLASMIN .125MG",$0.00 ,Invoice-based charges,
"INJECTION, OCRIPLASMIN, 0.125 MG                                                ","$3,209.38 ",,
"INJECTION, OCTAFLUOROPROPANE MICROSPHERES, PER ML                               ",$450.00 ,,
"INJECTION, OMALIZUMAB, 5 MG",$0.00 ,Invoice-based charges,
"INJECTION, OMALIZUMAB, 5 MG                                                     ",$110.76 ,,
"INJECTION, ONABOTULINUMTOXINA, 1 UNIT                                           ",$19.53 ,,
"INJECTION, ORITAVANCIN, 10 MG",$0.00 ,Invoice-based charges,
"INJECTION, PARICALCITOL, 1 MCG",$0.00 ,Invoice-based charges,
"INJECTION, PEGAPTANIB SODIUM, 0.3 MG                                            ","$3,980.00 ",,
"INJECTION, PEGLOTICASE 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, PENICILLIN G BENZATHINE AND PENICILLIN G PRO                         ",$36.80 ,,
"INJECTION, PENICILLIN G BENZATHINE, 100,000 UNITS                               ",$36.80 ,,
"INJECTION, PERFLUTREN LIPID MICROSPHERES, PER ML                                ",$119.00 ,,
"INJECTION, PERTUZUMAB, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, POTASSIUM CHLORIDE, PER 2 MEQ                                        ",$0.12 ,,
"INJECTION, PROCHLORPERAZINE, UP TO 10 MG                                        ",$14.00 ,,
"INJECTION, PROMETHAZINE HCL, UP TO 50 MG                                        ",$7.00 ,,
"INJECTION, RANIBIZUMAB, 0.1 MG",$0.00 ,Invoice-based charges,
"INJECTION, RANIBIZUMAB, 0.1 MG                                                  ","$1,267.50 ",,
"INJECTION, REGADENOSON, 0.1 MG                                                  ",$249.65 ,,
"INJECTION, RHO D IMMUNE GLOBULIN, HUMAN, FULL DOSE, 300                         ",$481.25 ,,
"INJECTION, RHO D IMMUNE GLOBULIN, INTRAVENOUS, HUMAN, S                         ",$630.00 ,,
"INJECTION, RITUXIMAB, 100 MG                                                    ","$2,823.05 ",,
"INJECTION, SINCALIDE, 5 MICROGRAMS                                              ",$201.00 ,,
"INJECTION, SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE I                         ",$6.38 ,,
"INJECTION, SULFUR HEXAFLUORIDE LIPID MICROSPHERES, PER                          ",$39.60 ,,
"INJECTION, TEMSIROLIMUS, 1 MG",$0.00 ,Invoice-based charges,
"INJECTION, TERBUTALINE SULFATE, UP TO 1 MG                                      ",$33.00 ,,
"INJECTION, TESTOSTERONE CYPIONATE, 1 MG                                         ",$0.25 ,,
"INJECTION, TETANUS IMMUNE GLOBULIN, HUMAN, UP TO 250 UN                         ",$306.00 ,,
"INJECTION, THYROTROPIN ALPHA, 0.9 MG, PROVIDED IN 1.1 M                         ","$4,980.63 ",,
"INJECTION, TOCILIZUMAB, 1 MG                                                    ",$15.27 ,,
"INJECTION, TRIAMCINOLONE ACETONIDE, NOT OTHERWISE SPECI                         ",$114.91 ,,
"INJECTION, VEDOLIZUMAB, 1 MG                                                    ",$190.55 ,,
"INJECTION, VITAMIN B-12 CYANOCOBALAMIN, UP TO 1000 MCG                          ",$18.83 ,,
"INJECTION, ZOLEDRONIC ACID, 1 MG                                                ",$87.05 ,,
"INJECTION,DOPAMINE HCL,40 MG",$0.00 ,Invoice-based charges,
INJECTIONS SCLEROSANT FOR SPIDER VEINS LIM/TRNK                                 ,$632.00 ,,
"INJ-EUFLEXXA, PER DOSE",$0.00 ,Invoice-based charges,
INJ-FOSAPREPITANT 1 MG,$0.00 ,Invoice-based charges,
"INJ-IPILIMUMAB, 1 MG",$0.00 ,Invoice-based charges,
INJ-MORPHINE 10 MG PSRVTV FREE,$0.00 ,Invoice-based charges,
INJ-MORPHINE SULFATE TO 10 MG,$0.00 ,Invoice-based charges,
"INJ-OBINUTUZUMAB, 10 MG",$0.00 ,Invoice-based charges,
INJ-OLANZAPINE PAMOATE,$0.00 ,Invoice-based charges,
"INJ-PALIPERIDONE PALMITATE,1MG",$0.00 ,Invoice-based charges,
INJ-ROMIPLOSTIM INJ-PER 10MCG,$0.00 ,Invoice-based charges,
INJ-TEMOZOLOMIDE INJ PER 1MG,$0.00 ,Invoice-based charges,
INJ-TESTOSTERONE CYPIONATE 1MG,$0.00 ,Invoice-based charges,
"INJ-VEDOLIZUMAB, 1MG",$0.00 ,Invoice-based charges,
INJX ANES CELIAC PLEXUS W/WO RADIOLOGIC MONITRNG                                ,"$2,358.00 ",,
INJX ANTERIOR CHAMBER EYE AIR/LIQUID SPX                                        ,"$2,358.00 ",,
INJX/INFUS NEUROLYT SBST EPIDURAL LUMBAR/SACRAL                                 ,$601.00 ,,
INJX/INFUS NEUROLYT SUBST EPIDURAL CERV/THORACIC                                ,$437.00 ,,
INJX/INFUSION NEUROLYTIC SUBSTANCE SUBARACHNOID                                 ,$578.00 ,,
INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I                                ,"$11,214.00 ",,
INS NEW/RPLC PRM PACEMAKER W/TRANSV ELTRD VENTR                                 ,"$6,856.00 ",,
INS NEW/RPLCMT PRM PACEMAKR W/TRANS ELTRD ATRIAL                                ,"$7,677.00 ",,
INS NEW/RPLCMT PRM PM W/TRANSV ELTRD ATRIAL&VENT                                ,"$12,000.00 ",,
INS PACEMAKER PULSE GEN ONLY W/EXIST DUAL LEADS                                 ,"$2,654.00 ",,
INS PACEMAKER PULSE GEN ONLY W/EXIST MULT LEADS                                 ,"$3,084.00 ",,
INS PM PLS GEN W/EXIST SINGLE LEAD                                              ,"$2,373.00 ",,
INS/RPLCMNT PERM SUBQ IMPLTBL DFB W/SUBQ ELTRD                                  ,"$32,851.00 ",,
INSERT CECOSTOMY/OTHER COLONIC TUBE PERCUTANEOUS                                ,"$2,328.00 ",,
INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ                                       ,"$2,328.00 ",,
"INSERT FOR INDWELLING TRACHEOESOPHAGEAL PROSTHESIS, WIT                         ",$102.00 ,,
INSERT GASTROSTOMY TUBE PERCUTANEOUS                                            ,"$1,940.00 ",,
INSERT TEMP PROSTATIC URETH STENT W/MEASUREMENT                                 ,$310.00 ,,
INSERTION CERVICAL DILATOR SEPARATE PROCEDURE                                   ,"$3,362.00 ",,
INSERTION FLOW DIRECTED CATHETER FOR MONITORING                                 ,"$2,727.00 ",,
INSERTION INDWELLING TUNNELED PLEURAL CATHETER                                  ,"$5,213.00 ",,
INSERTION INTRAUTERINE DEVICE IUD                                               ,"$3,362.00 ",,
INSERTION NASAL SEPTAL PROSTHESIS BUTTON                                        ,"$5,213.00 ",,
INSERTION PICC W/O IMG GDN 5 YR/>                                               ,"$4,357.00 ",,
INSERTION SPHENOIDAL ELECTRODES EEG PHYS/QHP                                    ,$429.00 ,,
INSERTION SUBQ CARDIAC RHYTHM MONITOR W/PRGRMG                                  ,"$17,737.00 ",,
INSERTION TRAY WITHOUT DRAINAGE BAG AND WITHOUT CATHETE                         ,$15.00 ,,
INSERTION TRAY WITHOUT DRAINAGE BAG WITH INDWELLING CAT                         ,$26.00 ,,
INSERTION TUNNEL INTRAPERITONEAL CATH SUBQ PORT                                 ,"$5,059.00 ",,
INSERTION UTERINE TANDEM&/VAGINAL OVOIDS                                        ,"$2,619.00 ",,
INSERTION VAGINAL RADIATION DEVICE                                              ,"$1,127.00 ",,
INSERTION WIRE/PIN W/APPL SKELETAL TRACTION SPX                                 ,"$4,112.00 ",,
INSJ 1 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB                                ,"$3,016.00 ",,
INSJ 2 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB                                ,"$5,072.00 ",,
INSJ BIOMCHN DEV INTERVERTEBRAL DSC SPC W/ARTHRD                                ,"$2,571.00 ",,
INSJ CANNULA HEMO OTH PURPOSE SPX VEIN VEIN                                     ,"$6,801.00 ",,
INSJ ELTRD CAR VEN SYS ATTCH PREV PM/DFB PLS GEN                                ,"$2,625.00 ",,
INSJ ELTRD CAR VEN SYS TM INSJ DFB/PM PLS GEN                                   ,"$2,625.00 ",,
INSJ IMPLNTBL DEFIB PULSE GEN W/1 EXISTING LD                                   ,"$4,769.00 ",,
INSJ IMPLNTBL DEFIB PULSE GEN W/EXIST DUAL LEADS                                ,"$5,304.00 ",,
INSJ IMPLNTBL DEFIB PULSE GEN W/EXIST MULTILEADS                                ,"$5,570.00 ",,
INSJ INTRAPERITONEAL CATHETER W/IMG GUID                                        ,"$4,850.00 ",,
INSJ NON-BIODEGRADABLE DRUG DELIVERY IMPLANT                                    ,$750.00 ,,
INSJ NON-NDWELLG BLADDER CATHETER                                               ,$372.00 ,,
INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE 5 YR/>                                ,"$1,505.00 ",,
INSJ OF SUBQ IMPLANTABLE DEFIBRILLATOR ELECTRODE                                ,"$11,876.00 ",,
INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY                                      ,"$1,395.00 ",,
INSJ PRPH CTR VAD W/SUBQ PORT AGE 5 YR/>                                        ,"$1,741.00 ",,
INSJ TEMP NDWELLG BLADDER CATHETER COMPLICATED                                  ,$588.00 ,,
INSJ TEMP NDWELLG BLADDER CATHETER SIMPLE                                       ,$734.00 ,,
INSJ TRANSVNS INTRAHEPATC PORTOSYSIC SHUNT                                      ,"$2,514.00 ",,
INSJ TUN VAD REQ 2 CATH 2 SITS W/O SUBQ PORT/PMP                                ,"$4,331.00 ",,
INSJ TUNNELED CTR VAD W/SUBQ PORT AGE 5 YR/>                                    ,"$4,849.00 ",,
INSJ TUNNELED CVC W/O SUBQ PORT/PMP AGE 5 YR/>                                  ,"$1,927.00 ",,
INSJ/RPLCMT PERM DFB W/TRNSVNS LDS 1/DUAL CHMBR                                 ,"$6,208.00 ",,
INSJ/RPLCMT SPI NPGR DIR/INDUXIVE COUPLING                                      ,"$3,760.00 ",,
INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH                                  ,"$1,269.00 ",,
INSJ/RPLCMT TEMP TRANSVNS 2CHMBR PACG ELTRDS SPX                                ,"$3,934.00 ",,
INSTLJ THER AGENT RENAL PELVIS&/URETER VIA TUB                                  ,"$1,038.00 ",,
INSTLJ VIA CHEST TUBE/CATH AGENT FOR PLEURODESIS                                ,"$2,358.00 ",,
INSULIN ANTIBODIES                                                              ,$155.00 ,,
INTEGRA DERMAL REGENERATION TEMPLATE (DRT) OR INTEGRA O                         ,$229.00 ,,
INTENSITY MODULATED RADIATION TX DLVR COMPLEX                                   ,"$1,827.00 ",,
INTENSITY MODULATED RADIATION TX DLVR SIMPLE                                    ,"$1,827.00 ",,
INTERFERON ALFACON-1 1MCG,$0.00 ,Invoice-based charges,
INTERFERON ALPHA-2A 3000000 UN,$0.00 ,Invoice-based charges,
INTERFERON ALPHA-2B 1000000 UN,$0.00 ,Invoice-based charges,
"INTERMITTENT URINARY CATHETER, WITH INSERTION SUPPLIES                          ",$13.00 ,,
"INTERMITTENT URINARY CATHETER; STRAIGHT TIP, WITH OR WI                         ",$5.00 ,,
INTERPJ/EXPLNAJ RESULTS PSYCHIATRIC EXAM FAMILY                                 ,$118.00 ,,
INTERROG DEV EVAL ICPMS PHYS/QHP IN PERSON                                      ,$151.00 ,,
INTERROG DEV EVAL PM/LDLS PM PHYS/QHP IN PERSON                                 ,$180.00 ,,
